id,created,vader_score
mvawkc1,2025-05-31T15:25:55,0.7845
mvb1qfx,2025-05-31T15:52:00,-0.4019
mvc9zc8,2025-05-31T20:11:45,0.7351
mvasl2t,2025-05-31T15:04:55,-0.5719
mvb42fj,2025-05-31T16:03:51,0.2944
mvartgf,2025-05-31T15:00:52,0.4404
mvbl4w8,2025-05-31T17:40:00,0.95
mvaqqyh,2025-05-31T14:55:14,0.4404
mvbey7p,2025-05-31T17:03:47,0.6808
mvb96m9,2025-05-31T16:31:32,0.5889
mvbnok6,2025-05-31T17:54:46,0.0
mv9afzv,2025-05-31T10:21:32,0.8658
mv9as6e,2025-05-31T10:23:17,0.0
mv9aull,2025-05-31T10:23:38,0.0
mv9d9xt,2025-05-31T10:36:11,0.8402
mv9aod2,2025-05-31T10:22:44,-0.5267
mv9ar56,2025-05-31T10:23:08,-0.7909
mv96q2w,2025-05-31T10:02:19,0.4019
mv96vao,2025-05-31T10:03:03,0.0
mv9d9of,2025-05-31T10:36:09,0.9393
mv96qcf,2025-05-31T10:02:21,0.0
mv9725l,2025-05-31T10:04:02,0.0
mv96lcj,2025-05-31T10:01:38,0.0
